rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
2,spotify:track:3uwYsiS1nnYDfVQMBbdX2B,Eslam Kabonga /  Kalosha,ايوا يا حبيبتي وحشتينى,اسلام كابونجا,1,2,22,638370,2,2024
3,spotify:track:1qhODkCMlYY22JflCKJQnz,Eslam Kabonga,اللي نفسه فيا بيتي ميتوهش,Tecno,2,3,15,388761,2,2024
4,spotify:track:7ME2ZENU0G5H7IlnPbWvOv,Mahmoud El Leithy /  Essam Sasa,سيبك من اللي خلع - من فيلم حمص وحلاوة,El Sobky proudctions,1,4,18,362453,2,2024
5,spotify:track:2hVnTuP0zdUEwHhME9ThnC,Ameen Khattab,كل الحلوين ولا شغلوني,El Abd Production,5,7,5,289519,2,2024
1,spotify:track:3uwYsiS1nnYDfVQMBbdX2B,Eslam Kabonga /  Kalosha,ايوا يا حبيبتي وحشتينى,اسلام كابونجا,1,1,26,527417,3,2024
2,spotify:track:2Heqj9jtxarmecKxycGSWn,Tamer Ashour,هيجيلي موجوع,Tamer Ashour,1,2,8,457589,3,2024
3,spotify:track:0zyAjQxKKcs5UAdctKc0xR,Magdy El Zahar /  Eslam Kabonga,زماني صابني عيار,Hebesha Production,3,4,8,332604,3,2024
4,spotify:track:1qhODkCMlYY22JflCKJQnz,Eslam Kabonga,اللي نفسه فيا بيتي ميتوهش,Tecno,2,3,19,319147,3,2024
5,spotify:track:7ME2ZENU0G5H7IlnPbWvOv,Mahmoud El Leithy /  Essam Sasa,سيبك من اللي خلع - من فيلم حمص وحلاوة,El Sobky proudctions,1,5,22,306985,3,2024
1,spotify:track:0TchhsYsdtIsY6HCJ0YQWL,Essam Sasa,اتنين بمقام ملايين,Sony Music Entertainment,1,1,4,547652,4,2024
2,spotify:track:3uwYsiS1nnYDfVQMBbdX2B,Eslam Kabonga /  Kalosha,ايوا يا حبيبتي وحشتينى,اسلام كابونجا,1,2,31,423387,4,2024
3,spotify:track:0zyAjQxKKcs5UAdctKc0xR,Magdy El Zahar /  Eslam Kabonga,زماني صابني عيار,Hebesha Production,2,3,13,353746,4,2024
4,spotify:track:7ME2ZENU0G5H7IlnPbWvOv,Mahmoud El Leithy /  Essam Sasa,سيبك من اللي خلع - من فيلم حمص وحلاوة,El Sobky proudctions,1,6,27,323963,4,2024
5,spotify:track:2uq6KhwXlCogpNTmN1cq7x,Fares Sokar - فارس سكر,جلب جالكو بتاع الجلب - اكشن جاي اتعارك - عيني جت علي سنيورة,MARWAN ZIDAN SALEM,5,7,6,298484,4,2024
1,spotify:track:0TchhsYsdtIsY6HCJ0YQWL,Essam Sasa,اتنين بمقام ملايين,Sony Music Entertainment,1,1,8,452420,5,2024
2,spotify:track:2qU4cGVCZ6CJQ8RjMHvGvp,حمادة مجدي /  Hassan Shakosh,قمبلة الجيل ( اختي وصحبتي ),Sharqi Production 2024,2,3,5,358544,5,2024
3,spotify:track:3uwYsiS1nnYDfVQMBbdX2B,Eslam Kabonga /  Kalosha,ايوا يا حبيبتي وحشتينى,اسلام كابونجا,1,2,35,342881,5,2024
4,spotify:track:0zyAjQxKKcs5UAdctKc0xR,Magdy El Zahar /  Eslam Kabonga,زماني صابني عيار,Hebesha Production,2,4,17,324936,5,2024
5,spotify:track:2CA1VER7dNNdgDyH9iL3BE,Essam Sasa,من فضل الاخصام خفو التخطير ( انا مش ع الدواق ),Mahraganat - عصام صاصا - Essam Saasa,5,8,5,311150,5,2024
1,spotify:track:3tfiVsnpCzewE8rPpsRIL6,Shehab,عالعموم,Shehab,1,2,16,353089,6,2024
2,spotify:track:3uwYsiS1nnYDfVQMBbdX2B,Eslam Kabonga /  Kalosha,ايوا يا حبيبتي وحشتينى,اسلام كابونجا,1,1,40,321803,6,2024
3,spotify:track:2qU4cGVCZ6CJQ8RjMHvGvp,حمادة مجدي /  Hassan Shakosh,قمبلة الجيل ( اختي وصحبتي ),Sharqi Production 2024,2,3,10,310769,6,2024
4,spotify:track:0TchhsYsdtIsY6HCJ0YQWL,Essam Sasa,اتنين بمقام ملايين,Sony Music Entertainment,1,4,13,305751,6,2024
5,spotify:track:2Heqj9jtxarmecKxycGSWn,Tamer Ashour,هيجيلي موجوع,Tamer Ashour,1,8,22,298572,6,2024
1,spotify:track:3tfiVsnpCzewE8rPpsRIL6,Shehab,عالعموم,Shehab,1,1,20,361765,7,2024
2,spotify:track:2Heqj9jtxarmecKxycGSWn,Tamer Ashour,هيجيلي موجوع,Tamer Ashour,1,2,26,334453,7,2024
3,spotify:track:2qU4cGVCZ6CJQ8RjMHvGvp,حمادة مجدي /  Hassan Shakosh,قمبلة الجيل ( اختي وصحبتي ),Sharqi Production 2024,1,3,14,308656,7,2024
4,spotify:track:1x77KcxyDUitE4trltji2r,Eslam Shendy,القاضية (من فيلم ولاد رزق 3),Drop management,4,5,4,290958,7,2024
5,spotify:track:2uq6KhwXlCogpNTmN1cq7x,Fares Sokar - فارس سكر,جلب جالكو بتاع الجلب - اكشن جاي اتعارك - عيني جت علي سنيورة,MARWAN ZIDAN SALEM,5,8,19,283234,7,2024
1,spotify:track:3vX1qpjqKTmuESvmvwMBHR,TUL8TE,حبيبي ليه,MDLBEAST Records,1,1,2,1332136,8,2024
2,spotify:track:4Tfdzh30bYmSPsWhAnUhYG,TUL8TE,ماتيجي اعدي عليكي,MDLBEAST Records,2,2,2,1250766,8,2024
3,spotify:track:1yiJHrunZu2fov7OhC7vM9,TUL8TE,LAYALINA,"Vinyl Entertainment, a Division of RaxRecords Music Group",3,3,11,575161,8,2024
4,spotify:track:77KkVJB8SLW6mZvYOxYWV6,Magdy El Zahar,عشري بيعني انا,Hebesha Production,4,4,7,464576,8,2024
5,spotify:track:3tfiVsnpCzewE8rPpsRIL6,Shehab,عالعموم,Shehab,1,6,24,439232,8,2024
1,spotify:track:2OSxxCfS81wcds5RbQ0Ztq,TUL8TE,حبيبي ليه,MDLBEAST Records,1,1,7,844955,9,2024
2,spotify:track:5ks7fVLJY4QRlAALIqJfMR,TUL8TE,ماتيجي اعدي عليكي,MDLBEAST Records,2,2,7,691811,9,2024
3,spotify:track:77KkVJB8SLW6mZvYOxYWV6,Magdy El Zahar,عشري بيعني انا,Hebesha Production,3,3,11,567837,9,2024
4,spotify:track:1bXmR0B5BOfCudp3zQmKmH,TUL8TE,بقيت وحيد,MDLBEAST Records,3,5,7,372051,9,2024
5,spotify:track:0rGCXktltsDt5jmcFwjFm4,Reda El Bahrawy,Aal Doghrey,Global,5,7,9,366564,9,2024
1,spotify:track:77KkVJB8SLW6mZvYOxYWV6,Magdy El Zahar,عشري بيعني انا,Hebesha Production,1,1,15,636212,10,2024
2,spotify:track:2OSxxCfS81wcds5RbQ0Ztq,TUL8TE,حبيبي ليه,MDLBEAST Records,1,2,11,530085,10,2024
3,spotify:track:2Cs1t49qL52fPt6ikx15wp,Afroto /  ONUY,KEBDA,The Basement Records,3,4,5,519198,10,2024
4,spotify:track:5ks7fVLJY4QRlAALIqJfMR,TUL8TE,ماتيجي اعدي عليكي,MDLBEAST Records,2,3,11,504749,10,2024
5,spotify:track:3tfiVsnpCzewE8rPpsRIL6,Shehab,عالعموم,Shehab,1,5,33,392820,10,2024
1,spotify:track:0kZtRxxBDbMO4vZApAiNOZ,Youssif Elashry,اتنسينا,Modissa - Youssif Elashry,1,3,2,891572,11,2024
2,spotify:track:2Cs1t49qL52fPt6ikx15wp,Afroto /  ONUY,KEBDA,The Basement Records,1,1,9,624246,11,2024
3,spotify:track:77KkVJB8SLW6mZvYOxYWV6,Magdy El Zahar,عشري بيعني انا,Hebesha Production,1,2,19,544105,11,2024
4,spotify:track:5LcThJzvvRzOZZb4apH9Px,زاد,Ana Meen,WKS LTD,4,4,15,515154,11,2024
5,spotify:track:3tfiVsnpCzewE8rPpsRIL6,Shehab,عالعموم,Shehab,1,6,37,407201,11,2024
1,spotify:track:2nQeY3iJpE57Rnc7r8z2Qx,Bahaa Sultan,انا من غيرك,Sony Music Entertainment,1,1,7,701630,12,2024
2,spotify:track:0kZtRxxBDbMO4vZApAiNOZ,Youssif Elashry,اتنسينا,Modissa - Youssif Elashry,1,2,7,679076,12,2024
3,spotify:track:2Cs1t49qL52fPt6ikx15wp,Afroto /  ONUY,KEBDA,The Basement Records,1,3,14,597397,12,2024
4,spotify:track:77KkVJB8SLW6mZvYOxYWV6,Magdy El Zahar,عشري بيعني انا,Hebesha Production,1,4,24,435267,12,2024
5,spotify:track:5ETFNSZAqO6A66VrgXkd6v,Marwan Pablo /  Abyusif,KARMA,Quality Clique,5,5,2,420049,12,2024
