rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
2,spotify:track:1mk8ZC9OeTZMr8Wy31LqRj,Davido,FEEL,Columbia,2,2,7,479640,5,2023
3,spotify:track:7rIHP8C7oHYONnJpLjVnAc,Zinoleesky,Many Things,Marlian Music,1,3,3,428305,5,2023
4,spotify:track:2kaH2Z8ezDUKf6fNw250rZ,Davido /  Musa Keys,UNAVAILABLE (feat. Musa Keys),Columbia,2,4,7,405644,5,2023
5,spotify:track:59sAr7NvZDeH7oYrkiyZcQ,Young Jonn,Aquafina,Chocolate City Music,5,13,2,401052,5,2023
1,spotify:track:3GMdp6clyAh7wZWVYOtoS9,Asake /  Olamide,Amapiano,YBNL Nation / EMPIRE,1,1,3,757992,6,2023
2,spotify:track:2KwnwVXtAlpSDdRVO9ccTJ,Olamide /  Asake,New Religion,YBNL Nation / EMPIRE,2,86,2,645209,6,2023
3,spotify:track:2FDTHlrBguDzQkp7PVj16Q,Dave /  Central Cee,Sprinter,Neighbourhood / Live Yours,3,-1,1,545662,6,2023
4,spotify:track:1iBWjQ9af9NnUd5xnQDB3k,Rema,Charm,Mavin Records / Jonzing World,1,3,6,469762,6,2023
5,spotify:track:2ITJKfLesLib9xo0hWVT1V,ODUMODUBLVCK /  Cruel Santino /  Bella Shmurda,DOG EAT DOG II (feat. Cruel Santino /  Bella Shmurda),NATIVE Records,5,11,2,464078,6,2023
1,spotify:track:747cO9FmyVvRCrsRusfwdL,Omah Lay,reason,KeyQaad/Sire Records,1,1,4,940603,7,2023
2,spotify:track:5ZtK8XAVnoaGdBXZWCEVCY,Asake,Lonely At The Top,YBNL Nation / EMPIRE,2,3,3,669097,7,2023
3,spotify:track:2H0w7oYDjUvgsFlNQ5swIg,Asake,Basquiat,YBNL Nation / EMPIRE,2,2,3,581490,7,2023
4,spotify:track:3GYjrPY5rh4f02ezDl07De,ODUMODUBLVCK /  Fireboy DML,FIREGUN (feat. Fireboy DML),Native Sounds/Def Jam PS,4,-1,1,470626,7,2023
5,spotify:track:1YgIvHDTvi1vosins1jyAC,Asake /  Olamide,Amapiano,YBNL Nation / EMPIRE,1,4,7,468098,7,2023
1,spotify:track:5ZtK8XAVnoaGdBXZWCEVCY,Asake,Lonely At The Top,YBNL Nation / EMPIRE,1,1,8,797891,8,2023
2,spotify:track:747cO9FmyVvRCrsRusfwdL,Omah Lay,reason,KeyQaad/Sire Records,1,3,9,507920,8,2023
3,spotify:track:2H0w7oYDjUvgsFlNQ5swIg,Asake,Basquiat,YBNL Nation / EMPIRE,2,4,8,426747,8,2023
4,spotify:track:2tQMxGMxZIsXez0oVkHg2U,Shallipopi /  Pa Monday-Edo,Obapluto (feat. Pa Monday-Edo),Plutomania / Dvpper Music,3,5,5,387515,8,2023
5,spotify:track:3Q4oVlA6z9TH0jhaDl6aNT,Shallipopi,Ex Convict,Dvpper Digital,3,6,5,369013,8,2023
1,spotify:track:4RoKNqyZ9622tcAeNPNv5k,Burna Boy,City Boys,Spaceship/ Bad Habit/Atlantic Records,1,1,2,710669,9,2023
2,spotify:track:5ZtK8XAVnoaGdBXZWCEVCY,Asake,Lonely At The Top,YBNL Nation / EMPIRE,1,8,12,613518,9,2023
3,spotify:track:1JqxgXNhqWpFss7nZzlwOz,Burna Boy /  Seyi Vibez,Giza (feat. Seyi Vibez),Spaceship/ Bad Habit/Atlantic Records,2,2,2,467498,9,2023
4,spotify:track:3FyxwVvc9JqmVl5IVDPaNU,Burna Boy /  Dave,Cheat On Me (feat. Dave),Spaceship/ Bad Habit/Atlantic Records,3,3,3,395687,9,2023
5,spotify:track:5mhM7bfzv52bzfCzlq8vH1,Crayon /  Ayra Starr,Ngozi,Mavin Records/Blowtime Entertainment,5,19,7,394984,9,2023
1,spotify:track:35MU2MEhQMw0NhXZztAP9m,ODUMODUBLVCK /  Bloody Civilian /  Wale,BLOOD ON THE DANCE FLOOR (feat. Bloody Civilian and Wale),Native Sounds/Def Jam PS,1,-1,1,631991,10,2023
2,spotify:track:4RoKNqyZ9622tcAeNPNv5k,Burna Boy,City Boys,Spaceship/ Bad Habit/Atlantic Records,1,1,7,529783,10,2023
3,spotify:track:2bKcKMDU9JHtLJ8xeHR46X,Bella Shmurda,My Brother,Dangbana Republik,3,-1,1,511908,10,2023
4,spotify:track:7sFukIJffFFLwnazXIbqP5,ODUMODUBLVCK /  Amaarae,KUBOLOR (feat. Amaarae),Native Sounds/Def Jam PS,4,-1,1,473066,10,2023
5,spotify:track:4bE2eWDiGBzRgfTl5IPBW4,Mohbad,Ask About Me,Imolenization,1,2,26,463826,10,2023
1,spotify:track:35MU2MEhQMw0NhXZztAP9m,ODUMODUBLVCK /  Bloody Civilian /  Wale,BLOOD ON THE DANCE FLOOR (feat. Bloody Civilian and Wale),Native Sounds/Def Jam PS,1,2,5,692192,11,2023
2,spotify:track:0RPXUuLjVHolWYkaXCndXD,Rema,DND,Mavin Records / Jonzing World,1,1,2,641357,11,2023
3,spotify:track:4RoKNqyZ9622tcAeNPNv5k,Burna Boy,City Boys,Spaceship/ Bad Habit/Atlantic Records,1,7,11,411579,11,2023
4,spotify:track:5ZtK8XAVnoaGdBXZWCEVCY,Asake,Lonely At The Top,YBNL Nation / EMPIRE,1,8,21,403021,11,2023
5,spotify:track:5Trqt6aqWnhqAcWS4Zto7v,Shallipopi,Oscroh (Pepperline),Dvpper Digital,1,9,4,375153,11,2023
1,spotify:track:6BWgLorAwF17ofyu8361HM,Shallipopi /  ODUMODUBLVCK,Cast,Dvpper Digital,1,1,5,1071852,12,2023
2,spotify:track:0zVk3uuV9UhxAt48F3OL12,Omah Lay,Holy Ghost,KeyQaad/Sire Records,1,2,4,808569,12,2023
3,spotify:track:35MU2MEhQMw0NhXZztAP9m,ODUMODUBLVCK /  Bloody Civilian /  Wale,BLOOD ON THE DANCE FLOOR (feat. Bloody Civilian and Wale),Native Sounds/Def Jam PS,1,3,9,676099,12,2023
4,spotify:track:0RPXUuLjVHolWYkaXCndXD,Rema,DND,Mavin Records / Jonzing World,1,4,6,593022,12,2023
5,spotify:track:5ZtK8XAVnoaGdBXZWCEVCY,Asake,Lonely At The Top,YBNL Nation / EMPIRE,1,6,25,436119,12,2023
1,spotify:track:6BWgLorAwF17ofyu8361HM,Shallipopi /  ODUMODUBLVCK,Cast,Dvpper Digital,1,1,10,835436,1,2024
2,spotify:track:5KV5UXd1uNZZafWTudrVft,Wizkid /  Zlatan,IDK (feat. Zlatan),Starboy/RCA Records,1,2,3,695854,1,2024
3,spotify:track:1IMRi5UVOV77PsAgdWDvzh,Chike /  Mohbad,Egwu,"Brothers Records, under exclusive license to ONErpm",3,4,4,690986,1,2024
4,spotify:track:02qAdqcn1HGt3RMWMTDkSe,Kizz Daniel,Twe Twe,FlyBoy INC / EMPIRE,2,3,5,653355,1,2024
5,spotify:track:35MU2MEhQMw0NhXZztAP9m,ODUMODUBLVCK /  Bloody Civilian /  Wale,BLOOD ON THE DANCE FLOOR (feat. Bloody Civilian and Wale),Native Sounds/Def Jam PS,1,5,14,558318,1,2024
1,spotify:track:1IMRi5UVOV77PsAgdWDvzh,Chike /  Mohbad,Egwu,"Brothers Records, under exclusive license to ONErpm",1,1,8,847902,2,2024
2,spotify:track:6BWgLorAwF17ofyu8361HM,Shallipopi /  ODUMODUBLVCK,Cast,Dvpper Digital,1,3,14,742254,2,2024
3,spotify:track:2khv04F26pnJr4989Maowi,Kizz Daniel /  Davido,Twe Twe,FlyBoy INC / EMPIRE,2,2,2,702815,2,2024
4,spotify:track:3eWpfsYgd5OL2QdwcVcF6Q,Zlatan /  Asake,Bust Down,Zanku Records,4,55,2,689518,2,2024
5,spotify:track:3JozQbIWMHBTKIghXKehVy,Ayra Starr,Commas,Mavin Global Holdings Ltd.,5,-1,1,649505,2,2024
1,spotify:track:3mARtPEP8hi1LzMctEwVN4,Skepta /  Portable /  JAE5,Tony Montana,Epic Records UK,1,-1,1,1005200,3,2024
2,spotify:track:10TygH7MoyZQFRMPDE2N6Z,Ruger /  Bnxn,Romeo Must Die (RMD),Blown Boy Ent. / T.Y.E / EMPIRE,2,147,2,839240,3,2024
3,spotify:track:1IMRi5UVOV77PsAgdWDvzh,Chike /  Mohbad,Egwu,"Brothers Records, under exclusive license to ONErpm",1,2,12,723055,3,2024
4,spotify:track:3JozQbIWMHBTKIghXKehVy,Ayra Starr,Commas,Mavin Global Holdings Ltd.,1,1,5,614654,3,2024
5,spotify:track:6BWgLorAwF17ofyu8361HM,Shallipopi /  ODUMODUBLVCK,Cast,Dvpper Digital,1,4,18,575118,3,2024
1,spotify:track:7FB5261Iv3MRbSz13HYP5l,Seyi Vibez,Different Pattern,Dvpper Digital,1,2,18,570320,4,2024
2,spotify:track:2LP8KwtvzUx1onvXKQCoKR,ODUMODUBLVCK /  Black Sherif,WOTOWOTO SEASONING (feat. Black Sherif),Native Sounds/Def Jam PS,2,3,19,549453,4,2024
3,spotify:track:1IMRi5UVOV77PsAgdWDvzh,Chike /  Mohbad,Egwu,"Brothers Records, under exclusive license to ONErpm",1,1,17,529768,4,2024
4,spotify:track:6BWgLorAwF17ofyu8361HM,Shallipopi /  ODUMODUBLVCK,Cast,Dvpper Digital,1,6,23,491859,4,2024
5,spotify:track:54seQV7MCcppBrznALCdlT,TitoM /  Yuppe /  S.N.E /  EeQue,Tshwala Bam (feat. S.N.E /  EeQue),TitoM,3,4,7,475408,4,2024
1,spotify:track:1Ss5QjczHsdYkvNsiBmoqS,Muyeez /  Seyi Vibez,Instagram,Dvpper Digital,1,7,2,1358591,5,2024
2,spotify:track:5Wxkvvb6pLky16pwq4gBI3,Ayo Maff /  Fireboy DML,Dealer,Tunesbid / Ocean street,2,5,4,788733,5,2024
3,spotify:track:52Krs3LCqtcfeiWUvhxncK,Ruger /  Bnxn,POE,Blown Boy Ent. / T.Y.E / EMPIRE,2,2,5,772891,5,2024
4,spotify:track:75c5cm8y5Fzb6aTZM3MOpN,Young Jonn,Bahamas,Chocolate City Music,3,3,4,698992,5,2024
5,spotify:track:6FZlSfQrD9aoB4SSnoAzWk,Shallipopi,ASAP,Dvpper Digital,1,1,4,610455,5,2024
1,spotify:track:6Qb4XQnsuRnMlGxwR3GOGV,TitoM /  Yuppe /  Burna Boy /  S.N.E,Tshwala Bam (feat. S.N.E),Boundary Ent / Spaceship,1,1,4,1175170,6,2024
2,spotify:track:6VX4hVDmDMfClxp6EwDNQP,Ayra Starr /  Seyi Vibez,Bad Vibes (feat. Seyi Vibez),Mavin Global Holdings Ltd.,2,2,4,1042409,6,2024
3,spotify:track:7IFoyt4ZL7raIETupyDCYM,KAESTYLE /  Omah Lay,My Dealer,Keyqaad,3,4,3,869763,6,2024
4,spotify:track:5Wxkvvb6pLky16pwq4gBI3,Ayo Maff /  Fireboy DML,Dealer,Tunesbid / Ocean street,2,6,8,866475,6,2024
5,spotify:track:1Ss5QjczHsdYkvNsiBmoqS,Muyeez /  Seyi Vibez,Instagram,Dvpper Digital,1,3,6,866375,6,2024
1,spotify:track:7fA7mrYaXVDVVGCAV65NRN,Burna Boy,Higher,Spaceship/ Bad Habit/Atlantic Records,1,1,2,1913039,7,2024
2,spotify:track:1gc2RyrBm1PYdSnG65yuAl,Rema /  Shallipopi,BENIN BOYS,Mavin Global Holdings Ltd,1,3,3,1185576,7,2024
3,spotify:track:5oUDNEJSEjsVT7LeWya4Gv,Rema,HEHEHE,Mavin Global Holdings Ltd,3,-1,1,1063116,7,2024
4,spotify:track:0WeU5EfNFu1wmlmCdMNDEJ,Olamide,Metaverse,YBNL Nation / EMPIRE,2,2,3,1058601,7,2024
5,spotify:track:780BUxpCmW9vOVYZsqdLLE,Asake /  Central Cee,Wave,YBNL Nation / EMPIRE,2,6,3,948143,7,2024
1,spotify:track:7ySC0IjVS1PMEdsZOvsUK2,Rema,OZEBA,Mavin Global Holdings Ltd,1,1,5,1241275,8,2024
2,spotify:track:7fA7mrYaXVDVVGCAV65NRN,Burna Boy,Higher,Spaceship/ Bad Habit/Atlantic Records,1,2,6,1145037,8,2024
3,spotify:track:2TOk5OzW5sL83ndKYZJmU7,Asake /  Travis Scott,Active,YBNL Nation / EMPIRE,3,-1,1,1077722,8,2024
4,spotify:track:4KZMoDuxwSYP63bhbnMqe3,Young Jonn,Stronger,Chocolate City Music,4,11,10,1021215,8,2024
5,spotify:track:5oUDNEJSEjsVT7LeWya4Gv,Rema,HEHEHE,Mavin Global Holdings Ltd,1,3,5,962888,8,2024
1,spotify:track:6XBIOtdSL47qn201KKNCA0,Smur Lee /  ODUMODUBLVCK /  Shallipopi,JUJU (feat. Shallipopi),NATIVE Records,1,1,3,1699481,9,2024
2,spotify:track:1136eJrkWsDvReASbjLTaU,Fido,Awolowo,Heatwave Records,2,3,4,1213002,9,2024
3,spotify:track:4KZMoDuxwSYP63bhbnMqe3,Young Jonn,Stronger,Chocolate City Music,3,5,15,1133171,9,2024
4,spotify:track:13VXuHw3O8Yt7VwRIDqSo4,Asake /  Wizkid,MMS,YBNL Nation / EMPIRE,1,2,6,952504,9,2024
5,spotify:track:5Wxkvvb6pLky16pwq4gBI3,Ayo Maff /  Fireboy DML,Dealer,Tunesbid / Ocean street,1,10,22,873988,9,2024
1,spotify:track:1136eJrkWsDvReASbjLTaU,Fido,Awolowo,Heatwave Records,1,2,8,1299964,10,2024
