rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
4,spotify:track:5ArcUruMjZyrHzQ0QilgJ4,Mirella,Löytää mut,Universal Music Oy,1,3,6,498761,10,2024
5,spotify:track:71hoYrgo1nxzWp9hfhu0Fi,Averagekidluke /  Turisti,Vitun hyvin,WM Finland,1,4,8,448590,10,2024
1,spotify:track:5A5sHRQoeJHzMULQGPLoOV,ibe,Marraskuu,Skorpioni,1,-1,1,1448953,11,2024
2,spotify:track:5tfW3t4zAZoeftsKQI0jD0,Mirella,Täs mä oon,Universal Music Oy,2,-1,1,831104,11,2024
3,spotify:track:7fdNCtxfZArtOZK3hLqqm3,Turisti,Taikuri,WM Finland,1,1,7,720397,11,2024
4,spotify:track:2Ug8JxGX2SIRfsYogycZJc,Mirella,Seireeni,Universal Music Oy,4,-1,1,601025,11,2024
5,spotify:track:47p94jgL5CekzREJnOp3M0,Mirella,Löytää mut,Universal Music Oy,1,3,10,555223,11,2024
1,spotify:track:6zLzNEyVqtyZoohE75maSy,Averagekidluke,Diva,WM Finland,1,1,4,615777,12,2024
2,spotify:track:7fdNCtxfZArtOZK3hLqqm3,Turisti,Taikuri,WM Finland,1,4,12,549671,12,2024
3,spotify:track:4d4jaU4L2WiA4m181RaaWG,william /  Isac Elliot,Anteeks,WM Finland,2,2,2,548581,12,2024
4,spotify:track:1NKyomIMeDReZTpcZhJ0h7,Sexmane,Viimeinen kuulutus,Sene Records,4,-1,1,493969,12,2024
5,spotify:track:5A5sHRQoeJHzMULQGPLoOV,ibe,Marraskuu,Skorpioni,1,3,6,426432,12,2024
