rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
1,spotify:track:3yFgWoossjlaJ919XDCG4C,Simba La Rue /  FT Kings /  Sick Luke,MI PIACCIONO LE ARMI,Warner Music,1,2,3,3371723,11,2024
2,spotify:track:5nFyfjGy6AMZqkW0OMUWJJ,Olly /  Angelina Mango /  JVLI,Per due come noi,Epic,1,1,9,2777464,11,2024
3,spotify:track:5EeDZPNPIjEtEZsHMkX1m7,Kid Yugi,Donna,Universal Music Italia srL.,3,3,2,2380789,11,2024
4,spotify:track:1QcmAp6Ev2HuYxKujUwnw0,Alfa,il filo rosso,Artist First,2,4,3,2205939,11,2024
5,spotify:track:7heTgNdtbRD4n0Vg8rGYXo,Lele Blade /  Geolier /  Dele /  Poison Beatz,HEETS (feat. Geolier),Warner Music,5,5,2,2038148,11,2024
1,spotify:track:3yFgWoossjlaJ919XDCG4C,Simba La Rue /  FT Kings /  Sick Luke,MI PIACCIONO LE ARMI,Warner Music,1,2,3,3371723,11,2024
2,spotify:track:5nFyfjGy6AMZqkW0OMUWJJ,Olly /  Angelina Mango /  JVLI,Per due come noi,Epic,1,1,9,2777464,11,2024
3,spotify:track:5EeDZPNPIjEtEZsHMkX1m7,Kid Yugi,Donna,Universal Music Italia srL.,3,3,2,2380789,11,2024
4,spotify:track:1QcmAp6Ev2HuYxKujUwnw0,Alfa,il filo rosso,Artist First,2,4,3,2205939,11,2024
5,spotify:track:7heTgNdtbRD4n0Vg8rGYXo,Lele Blade /  Geolier /  Dele /  Poison Beatz,HEETS (feat. Geolier),Warner Music,5,5,2,2038148,11,2024
1,spotify:track:41lOxc6ARYZPXpKeMWcHsD,Pinguini Tattici Nucleari,Islanda,Epic,1,2,4,3215979,12,2024
2,spotify:track:2L16IuIQgLL1HupWGN4F4t,Cesare Cremonini,Ora che non ho più te,Universal Music Italia srL.,1,1,12,2478827,12,2024
3,spotify:track:2O8jjjtyEfXliQ6vdtdPvH,Papa V /  Nerissima Serpe /  Fritu,Tip Tap,UNIKAL,3,10,2,2415241,12,2024
4,spotify:track:4X4R6qsIicxIQIFbnDcJLO,Olly /  JVLI,Scarabocchi,Epic,4,6,7,2313403,12,2024
5,spotify:track:1QcmAp6Ev2HuYxKujUwnw0,Alfa,il filo rosso,Artist First,2,7,8,2235027,12,2024
1,spotify:track:41lOxc6ARYZPXpKeMWcHsD,Pinguini Tattici Nucleari,Islanda,Epic,1,2,4,3215979,12,2024
2,spotify:track:2L16IuIQgLL1HupWGN4F4t,Cesare Cremonini,Ora che non ho più te,Universal Music Italia srL.,1,1,12,2478827,12,2024
